l_names,l_team18,l_pos18,l_gp18,l_points18,draft_pick,cost,l_team17,l_pos17,l_gp17,l_points17,l_owners17,l_project17,l_actual17,l_passyds17,l_passtd17,l_passint17,l_rushyds17,l_rushtd17,l_rush1st17,l_recepts17,l_recyds17,l_rectd17,l_rec1st17,l_returnyds17,l_returntd17,l_2pt17,l_fumble17,pick17,cost17,off_linefo18,off_linepff18,off_passydsg17,off_runydsg17,off_ptsg17,def_ydsg17,def_ptsg17,train
Brandon LaFell,Oak,WR,6,46,,,Cin,WR,16,137.53,.0099999998,271,197,0,0,0,0,0,0,52,548,3,25,0,0,0,0,228,2,13,7,226.89999,97.099998,18.799999,350.10001,23.299999,.86893326
Lance Kendricks,NE,TE,16,47.330002,,,GB,TE,16,47.529999,0,1924,370,0,0,0,0,0,0,18,203,1,8,0,0,0,0,,,3,11,276.10001,118.1,28.6,366,18.5,.55510318
Cody Kessler,Phi,QB,5,47.66,,,,,,,,,,,,,,,,,,,,,,,,,,19,1,233.60001,132.2,28.6,306.5,18.4,.87599099
James O'Shaughnessy,Jax,TE,14,48.27,,,,,,,,,,,,,,,,,,,,,,,,,,21,15,224.60001,141.39999,26.1,286.10001,16.799999,.89275867
D.J. Chark Jr.,Jax,WR,11,48.400002,,,,,,,,,,,,,,,,,,,,,,,,,,21,15,224.60001,141.39999,26.1,286.10001,16.799999,.5844658
James Washington,Pit,WR,14,48.470001,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,273.79999,104.2,25.4,306.89999,19.299999,.85063088
Tyler Ervin,Bal,RB,9,49.130001,,,,,,,,,,,,,,,,,,,,,,,,,,9,24,189.39999,116,24.700001,325.10001,18.9,.75424343
Bennie Fowler III,NYG,WR,10,49.27,,,,,,,,,,,,,,,,,,,,,,,,,,29,25,217.39999,96.800003,15.4,373.20001,24.299999,.69502336
Raheem Mostert,SF,RB,9,49.77,,,,,,,,,,,,,,,,,,,,,,,,,,10,16,245.3,104,20.700001,351.60001,23.9,.68661523
Cody Latimer,NYG,WR,6,49.970001,,,NYG,WR,11,90.129997,0,1942,272,0,0,0,0,0,0,19,287,2,15,190,0,1,0,,,29,25,217.39999,96.800003,15.4,373.20001,24.299999,.9319346
Wayne Gallman Jr.,NYG,RB,15,51.529999,209,1,,,,,,,,,,,,,,,,,,,,,,,,29,25,217.39999,96.800003,15.4,373.20001,24.299999,.97488481
Tavon Austin,Dal,WR,7,51.630001,,,Dal ,WR,16,57,,,,0,0,0,270,1,9,13,47,0,2,0,0,0,4,121,6,8,2,196.3,135.60001,22.1,318.10001,20.799999,.7264384
Luke Stocker,Atl,TE,16,52,,,Ten,TE,12,15,0,1956,487,0,0,0,0,0,0,4,30,1,1,0,0,0,0,,,24,3,249.39999,115.4,22.1,318.39999,19.700001,.74596667
Deonte Thompson,NYJ,WR,13,52.43,,,Dal,WR,16,138.39999,.0099999998,1910,194,0,0,0,5,0,0,38,555,2,25,229,0,0,0,,,32,31,198.89999,106.4,18.6,352.29999,23.9,.71671617
Keith Kirkwood,NO,WR,8,52.93,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,261.79999,129.39999,28,336.5,20.4,.85974205
Josh Johnson,Det,QB,4,54.599998,,,,,,,,,,,,,,,,,,,,,,,,,,20,8,261.39999,76.300003,25.6,355.79999,23.5,.87121874
Trenton Cannon,NYJ,RB,16,54.900002,,,,,,,,,,,,,,,,,,,,,,,,,,32,31,198.89999,106.4,18.6,352.29999,23.9,.76646835
Jason Croom,Buf,TE,15,57.27,,,,,,,,,,,,,,,,,,,,,,,,,,30,29,176.60001,126.1,18.9,355.10001,22.4,.74379581
Jeff Wilson Jr.,SF,RB,6,59.130001,,,,,,,,,,,,,,,,,,,,,,,,,,10,16,245.3,104,20.700001,351.60001,23.9,.98051131
Ryan Griffin,NYJ,TE,14,59.330002,,,Hou,TE,7,41.529999,.0099999998,276,383,0,0,0,0,0,0,13,158,1,8,0,0,1,0,,,32,31,198.89999,106.4,18.6,352.29999,23.9,.72957718
Torrey Smith,Car,WR,11,59.669998,,,Car,WR,16,92.269997,.0099999998,1930,266,0,0,0,3,0,0,36,430,2,11,9,0,0,0,,,11,21,192.3,131.39999,22.700001,317.10001,20.4,.90110493
Matt LaCosse,NE,TE,15,60.669998,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,276.10001,118.1,28.6,366,18.5,.88565093
Geoff Swaim,Jax,TE,9,61.130001,,,,,,,,,,,,,,,,,,,,,,,,,,21,15,224.60001,141.39999,26.1,286.10001,16.799999,.88211203
Justin Hardy,Atl,WR,16,62.27,,,Atl,WR,16,71.730003,0,1905,306,0,0,0,0,0,0,20,221,3,13,0,0,0,0,,,24,3,249.39999,115.4,22.1,318.39999,19.700001,.74893296
Rex Burkhead,NE,RB,8,62.330002,60,15,NE,RB,10,146.03,.82999998,60,181,0,0,0,264,5,14,30,254,3,13,17,0,0,0,,,3,11,276.10001,118.1,28.6,366,18.5,.91962624
Levine Toilolo,SF,TE,16,62.529999,,,Det,TE,15,37.130001,0,1915,394,0,0,0,0,0,0,12,122,1,5,0,0,0,0,,,10,16,245.3,104,20.700001,351.60001,23.9,.69345325
Pierre Garcon,SF,WR,8,65.07,143,5,SF,WR,8,98.330002,.86000001,74,254,0,0,0,0,0,0,40,500,0,25,0,0,0,0,158,8,10,16,245.3,104,20.700001,351.60001,23.9,.82858884
Zach Zenner,Det,RB,8,66.230003,,,,,,,,,,,,,,,,,,,,,,,,,,20,8,261.39999,76.300003,25.6,355.79999,23.5,.86303777
DeVante Parker,Mia,WR,11,66.599998,147,5,Mia,WR,13,142.67,.69999999,109,185,0,0,0,0,0,0,57,670,1,33,0,0,0,0,112,16,14,20,220.89999,86.800003,17.6,335.70001,24.6,.77203995
Allen Hurns,Mia,WR,16,66.669998,201,1,Dal,WR,10,115.27,.23999999,156,223,0,0,0,0,0,0,39,484,2,28,0,0,0,0,196,1,14,20,220.89999,86.800003,17.6,335.70001,24.6,.58611989
Bruce Ellington,NE,WR,7,68.129997,,,Hou,WR,11,88.400002,.0099999998,1904,277,0,0,0,17,0,1,29,330,2,14,47,0,0,0,,,3,11,276.10001,118.1,28.6,366,18.5,.80536443
Brock Osweiler,Mia,QB,7,68.980003,,,,,,,,,,,,,,,,,,,,,,,,,,14,20,220.89999,86.800003,17.6,335.70001,24.6,.72473097
Jordan Matthews,SF,WR,14,70,,,NE,WR,10,63.799999,.059999999,190,329,0,0,0,0,0,0,25,282,1,14,0,0,0,1,86,14,10,16,245.3,104,20.700001,351.60001,23.9,.69648665
Jack Doyle,Ind,TE,6,70.330002,144,6,Ind,TE,15,188,.72000003,106,114,0,0,0,0,0,0,80,690,4,34,0,0,0,2,34,7,4,17,180.8,103.8,16.4,367.10001,25.299999,.91193444
Trent Taylor,SF,WR,14,70.629997,,,SF,WR,15,141.57001,.02,1935,189,0,0,0,0,0,0,43,430,2,27,289,0,0,1,,,10,16,245.3,104,20.700001,351.60001,23.9,.6795634
Jonnu Smith,Ten,TE,13,71.199997,,,Ten,TE,16,49.470001,.0099999998,1951,364,0,0,0,0,0,0,18,157,2,5,0,0,0,0,,,17,5,199.39999,114.6,20.9,328,22.299999,.73897004
Jaron Brown,Sea,WR,16,74.07,,,Sea,WR,16,117.8,.02,304,218,0,0,0,0,0,0,31,477,4,23,0,0,0,0,,,12,30,228.60001,101.8,22.9,323.20001,20.799999,.6537739
TJ Jones,NYG,WR,15,74.470001,,,Det,WR,14,103.8,0,1928,243,0,0,0,0,0,0,30,399,1,22,152,0,1,0,,,29,25,217.39999,96.800003,15.4,373.20001,24.299999,.8998394
Tyler Higbee,LAR,TE,16,75.470001,,,LAR,TE,16,64.669998,.0099999998,1927,327,0,0,0,0,0,0,25,295,1,12,0,0,0,0,,,1,10,239.39999,122.1,29.9,339.60001,20.6,.57342321
Darren Sproles,Phi,RB,6,78.169998,,,Phi ,RB,3,24,,,,0,0,0,61,0,4,7,73,0,3,10,0,0,1,139,14,19,1,233.60001,132.2,28.6,306.5,18.4,.6659978
Demarcus Robinson,KC,WR,16,85.199997,,,,,,,,,,,,,,,,,,,,,,,,,,16,18,256.5,118.9,25.9,365.10001,21.200001,.85146797
Aldrick Robinson,Car,WR,14,86.5,,,,,,,,,,,,,,,,,,,,,,,,,,11,21,192.3,131.39999,22.700001,317.10001,20.4,.98200661
Antonio Gates,LAC,TE,16,87.199997,,,LAC,TE,16,91.07,.02,212,270,0,0,0,0,0,0,30,316,3,16,0,0,0,0,135,3,5,23,276.89999,99.699997,22.200001,328.39999,17,.98748469
Blake Jarwin,Dal,TE,16,87.470001,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,196.3,135.60001,22.1,318.10001,20.799999,.89410603
Tajae Sharpe,Ten,WR,16,87.669998,,,,,,,,,,,,,,,,,,,,,,,,,,17,5,199.39999,114.6,20.9,328,22.299999,.96847343
Jeff Driskel,Cin,QB,9,88.120003,,,,,,,,,,,,,,,,,,,,,,,,,,22,26,195.10001,85.400002,18.1,339.10001,21.799999,.69273365
Isaiah McKenzie,Buf,WR,8,90.230003,,,,,,,,,,,,,,,,,,,,,,,,,,30,29,176.60001,126.1,18.9,355.10001,22.4,.58580053
Jesse James,Det,TE,16,91.199997,,,Pit,TE,16,111.8,.059999999,278,229,0,0,0,0,0,0,43,372,3,20,0,0,0,0,206,3,20,8,261.39999,76.300003,25.6,355.79999,23.5,.68806034
Spencer Ware,Ind,RB,13,91.529999,194,1,KC,RB,14,240.89999,.11,211,805,0,0,0,921,3,47,33,447,2,17,0,0,0,3,5,19,4,17,180.8,103.8,16.4,367.10001,25.299999,.9794578
Jamison Crowder,NYJ,WR,9,91.870003,80,12,Was,WR,15,195.10001,.85000002,65,102,0,0,0,34,0,1,66,789,3,37,171,0,0,3,57,28,32,31,198.89999,106.4,18.6,352.29999,23.9,.67019367
Taywan Taylor,Ten,WR,13,93.07,98,1,,,,,,,,,,,,,,,,,,,,,,,,17,5,199.39999,114.6,20.9,328,22.299999,.59488082
Ian Thomas,Car,TE,16,94.199997,,,,,,,,,,,,,,,,,,,,,,,,,,11,21,192.3,131.39999,22.700001,317.10001,20.4,.79708928
Marvin Hall,Chi,WR,16,94.529999,,,,,,,,,,,,,,,,,,,,,,,,,,28,13,175.7,111.8,16.5,319.10001,20,.78358531
Darius Jennings,Ten,WR,16,94.57,,,,,,,,,,,,,,,,,,,,,,,,,,17,5,199.39999,114.6,20.9,328,22.299999,.65463418
Jacquizz Rodgers,NO,RB,16,96.07,,,TB ,RB,16,83,,,,0,0,0,244,1,11,9,74,0,4,0,0,0,0,31,7,2,6,261.79999,129.39999,28,336.5,20.4,.68850589
Marshawn Lynch,Oak,RB,6,96.199997,35,18,Oak,RB,15,195.17,.89999998,90,103,0,0,0,891,7,44,20,151,0,6,0,0,0,1,3,21,13,7,226.89999,97.099998,18.799999,350.10001,23.299999,.87249601
Greg Olsen,Car,TE,9,96.400002,61,16,Car,TE,7,50.73,.99000001,61,361,0,0,0,0,0,0,17,191,1,13,0,0,0,0,17,20,11,21,192.3,131.39999,22.700001,317.10001,20.4,.52963525
Richie James Jr.,SF,WR,13,97.169998,,,,,,,,,,,,,,,,,,,,,,,,,,10,16,245.3,104,20.700001,351.60001,23.9,.83022094
Phillip Dorsett,NE,WR,16,97.230003,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,276.10001,118.1,28.6,366,18.5,.93398529
Rashaad Penny,Sea,RB,14,98.900002,132,5,Sea,RB,,,.91000003,76,826,,,,,,,,,,,,,,,,,12,30,228.60001,101.8,22.9,323.20001,20.799999,.55361712
Ty Montgomery,NYJ,RB,13,99.470001,218,1,GB,RB,8,102.83,.27000001,164,247,0,0,0,273,3,13,23,173,1,8,0,0,0,0,68,29,32,31,198.89999,106.4,18.6,352.29999,23.9,.53461522
Keelan Cole,Jax,WR,16,99.730003,,,Jax,WR,16,148.47,.059999999,202,175,0,0,0,0,0,0,42,748,3,32,26,0,0,1,,,21,15,224.60001,141.39999,26.1,286.10001,16.799999,.77677935
Marquise Goodwin,SF,WR,11,101.23,158,5,SF,WR,16,189.53,.82999998,79,111,0,0,0,44,0,3,56,962,2,46,0,0,0,0,,,10,16,245.3,104,20.700001,351.60001,23.9,.51608807
Albert Wilson,Mia,WR,7,104.75,,,Mia,WR,13,138.33,.029999999,266,195,0,0,0,6,0,1,42,554,3,32,18,0,0,0,,,14,20,220.89999,86.800003,17.6,335.70001,24.6,.68174654
Michael Gallup,Dal,WR,16,105.8,198,2,Dal,WR,,,.17,163,844,,,,,,,,,,,,,,,,,8,2,196.3,135.60001,22.1,318.10001,20.799999,.87458158
Giovani Bernard,Cin,RB,12,107.13,41,15,Cin,RB,16,175.42999,.16,184,131,0,0,0,458,2,20,43,389,2,16,7,0,0,0,199,2,22,26,195.10001,85.400002,18.1,339.10001,21.799999,.76778615
Chris Conley,Jax,WR,16,108.77,,,KC,WR,5,31.469999,.0099999998,1931,413,0,0,0,0,0,0,11,175,0,8,8,0,0,0,,,21,15,224.60001,141.39999,26.1,286.10001,16.799999,.75513661
Jaylen Samuels,Pit,RB,14,111.87,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,273.79999,104.2,25.4,306.89999,19.299999,.67941773
DeAndre Carter,Hou,WR,14,112.5,,,,,,,,,,,,,,,,,,,,,,,,,,27,32,204.89999,115.1,21.1,346.60001,27.299999,.7124024
Cameron Brate,TB,TE,16,113.27,179,1,TB,TE,16,168.39999,.47,127,144,0,0,0,0,0,0,48,591,6,33,0,0,0,0,124,3,31,22,272.89999,90.599998,20.9,378.10001,23.9,.56622654
Chris Hogan,Car,WR,16,116.47,100,18,NE,WR,9,127.97,.91000003,68,211,0,0,0,17,0,1,34,439,5,22,0,0,0,0,176,1,11,21,192.3,131.39999,22.700001,317.10001,20.4,.5955869
David Moore,Sea,WR,16,116.97,,,,,,,,,,,,,,,,,,,,,,,,,,12,30,228.60001,101.8,22.9,323.20001,20.799999,.6251604
C.J. Uzomah,Cin,TE,16,117.27,,,Cin,TE,14,30.129999,0,1960,416,0,0,0,0,0,0,10,92,1,6,0,0,0,0,,,22,26,195.10001,85.400002,18.1,339.10001,21.799999,.63489896
Alfred Blue,Jax,RB,16,118.47,,,Hou,RB,11,54.799999,0,1967,351,0,0,0,262,1,10,7,54,0,4,0,0,0,0,,,21,15,224.60001,141.39999,26.1,286.10001,16.799999,.99445724
Seth Roberts,Bal,WR,15,119.43,,,Oak,WR,15,99.330002,0,1933,252,0,0,0,0,0,0,43,455,1,22,0,0,0,2,,,9,24,189.39999,116,24.700001,325.10001,18.9,.74976772
Dante Pettis,SF,WR,12,119.63,,,SF,WR,,,.050000001,214,827,,,,,,,,,,,,,,,,,10,16,245.3,104,20.700001,351.60001,23.9,.61077046
Devontae Booker,Den,RB,16,120.03,,,Den,RB,13,131.83,.22,175,206,0,0,0,299,1,11,30,275,0,13,276,0,0,1,,,6,19,208.3,115.8,18.1,290,23.9,.57542151
Josh Rosen,Mia,QB,14,120.92,,,,,,,,,,,,,,,,,,,,,,,,,,14,20,220.89999,86.800003,17.6,335.70001,24.6,.67013687
Marquez Valdes-Scantling,GB,WR,16,122.73,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,197.89999,107.8,20,348.89999,24,.95376223
Gus Edwards,Bal,RB,11,123.13,,,,,,,,,,,,,,,,,,,,,,,,,,9,24,189.39999,116,24.700001,325.10001,18.9,.89496481
Nick Mullens,SF,QB,8,124.48,,,,,,,,,,,,,,,,,,,,,,,,,,10,16,245.3,104,20.700001,351.60001,23.9,.5890286
Theo Riddick,Den,RB,14,127.7,83,6,Det,RB,16,168.2,.25,159,145,0,0,0,286,3,11,53,444,2,20,0,0,0,1,187,4,6,19,208.3,115.8,18.1,290,23.9,.66549015
Corey Clement,Phi,RB,11,130.7,,,Phi,RB,16,114.2,.16,192,225,0,0,0,321,4,19,10,123,2,6,49,0,1,0,,,19,1,233.60001,132.2,28.6,306.5,18.4,.74720538
Jordan Reed,Was,TE,13,131.2,85,5,Was,TE,6,67.07,.91000003,99,320,0,0,0,0,0,0,27,211,2,10,0,0,0,0,35,16,26,12,234.39999,90.5,21.4,347.89999,24.299999,.71901435
Chris Herndon,NYJ,TE,16,131.57001,,,,,,,,,,,,,,,,,,,,,,,,,,32,31,198.89999,106.4,18.6,352.29999,23.9,.84646469
Frank Gore,Buf,RB,14,133.47,173,1,Mia,RB,16,219.42999,.12,252,80,0,0,0,961,3,49,29,245,1,9,0,0,0,0,127,11,30,29,176.60001,126.1,18.9,355.10001,22.4,.79083127
Leonard Fournette,Jax,RB,8,139.23,32,46,Jax,RB,13,265.13,1,26,38,0,0,0,1040,9,46,36,302,1,15,0,0,0,0,29,28,21,15,224.60001,141.39999,26.1,286.10001,16.799999,.7795682
O.J. Howard,TB,TE,10,139.67,88,7,TB,TE,14,117.8,.73000002,107,219,0,0,0,0,0,0,26,432,6,19,0,0,0,2,189,2,31,22,272.89999,90.599998,20.9,378.10001,23.9,.74843955
