l_names,l_team18,l_pos18,l_gp18,l_points18,draft_pick,cost,l_team17,l_pos17,l_gp17,l_points17,l_owners17,l_project17,l_actual17,l_passyds17,l_passtd17,l_passint17,l_rushyds17,l_rushtd17,l_rush1st17,l_recepts17,l_recyds17,l_rectd17,l_rec1st17,l_returnyds17,l_returntd17,l_2pt17,l_fumble17,pick17,cost17,off_linefo18,off_linepff18,off_passydsg17,off_runydsg17,off_ptsg17,def_ydsg17,def_ptsg17,train
Donte Moncrief,Pit,WR,16,144.23,,,Jax,WR,12,90.07,.079999998,233,273,0,0,0,0,0,0,26,391,2,22,0,0,0,0,150,5,15,4,273.79999,104.2,25.4,306.89999,19.299999,.91805083
LeSean McCoy,Buf,RB,14,145.27,58,25,Buf,RB,16,319.67001,.98000002,55,12,0,0,0,1138,6,56,59,448,2,23,0,0,0,1,30,50,30,29,176.60001,126.1,18.9,355.10001,22.4,.90191412
Jamaal Williams,GB,RB,16,146.89999,153,3,GB,RB,16,174.07001,.66000003,119,134,0,0,0,556,4,32,25,262,2,12,0,0,0,0,191,5,7,9,197.89999,107.8,20,348.89999,24,.63413823
Joe Flacco,Den,QB,9,147.10001,192,1,Bal,QB,16,186.03999,.07,228,116,3141,18,13,54,1,3,0,0,0,0,0,0,1,0,43,18,6,19,208.3,115.8,18.1,290,23.9,.81472951
Devin Funchess,Ind,WR,14,147.60001,131,9,Car,WR,16,223,.89999998,73,77,0,0,0,0,0,0,63,840,8,40,0,0,0,0,,,4,17,180.8,103.8,16.4,367.10001,25.299999,.87889218
Courtland Sutton,Den,WR,16,150.83,,,Den,WR,,,.090000004,193,831,,,,,,,,,,,,,,,,,6,19,208.3,115.8,18.1,290,23.9,.57788956
Doug Martin,Oak,RB,16,151.03,221,1,Oak,RB,11,94.199997,.15000001,236,265,0,0,0,406,3,21,9,84,0,6,0,0,1,1,179,10,13,7,226.89999,97.099998,18.799999,350.10001,23.299999,.6155495
Willie Snead IV,Bal,WR,16,154,,,Bal ,WR,11,18,,,,0,0,0,0,0,0,8,92,0,4,18,0,0,1,60,21,9,24,189.39999,116,24.700001,325.10001,18.9,.65174168
Ryan Tannehill,Ten,QB,11,154.86,122,5,Mia,QB,13,198.2,.079999998,174,671,2995,19,12,164,1,10,0,0,0,0,0,0,1,3,,,17,5,199.39999,114.6,20.9,328,22.299999,.92520809
Chester Rogers,Ind,WR,16,155.42999,,,Ind,WR,11,74.230003,.0099999998,1945,302,0,0,0,8,0,0,23,284,1,15,85,0,0,0,,,4,17,180.8,103.8,16.4,367.10001,25.299999,.82333666
Kenny Stills,Mia,WR,15,155.59,197,1,Mia,WR,16,194.47,.27000001,118,104,0,0,0,0,0,0,58,847,6,36,0,0,0,2,226,1,14,20,220.89999,86.800003,17.6,335.70001,24.6,.92294019
Cooper Kupp,LAR,WR,8,156.63,118,9,LAR,WR,15,199.92999,.86000001,78,98,0,0,0,0,0,0,62,869,5,42,0,0,0,1,211,1,1,10,239.39999,122.1,29.9,339.60001,20.6,.74804264
Isaiah Crowell,Oak,RB,13,156.63,115,6,NYJ,RB,16,180.42999,.75999999,82,123,0,0,0,853,2,38,28,182,0,9,0,0,1,1,76,31,13,7,226.89999,97.099998,18.799999,350.10001,23.299999,.52141476
David Njoku,Cle,TE,16,157.60001,96,6,Cle,TE,16,106.83,.75999999,100,235,0,0,0,1,0,0,32,386,4,17,0,0,0,0,,,18,14,201.8,107.1,14.6,328.10001,25.6,.86819887
John Brown,Buf,WR,16,158.07001,183,3,Bal,WR,10,81.93,.059999999,243,288,0,0,0,10,0,1,21,299,3,15,0,0,0,0,174,4,30,29,176.60001,126.1,18.9,355.10001,22.4,.72394723
Mike Davis,Chi,RB,15,158.67,,,Sea,RB,6,65.730003,.0099999998,1893,325,0,0,0,240,0,12,15,131,0,6,0,0,0,0,,,28,13,175.7,111.8,16.5,319.10001,20,.79554641
Doug Baldwin,Sea,WR,13,163.2,34,30,Sea,WR,16,250.27,.99000001,37,47,0,0,0,8,0,0,75,991,8,44,0,0,1,0,66,36,12,30,228.60001,101.8,22.9,323.20001,20.799999,.89250743
Ryan Switzer,Pit,WR,16,163.87,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,273.79999,104.2,25.4,306.89999,19.299999,.70787907
Mark Ingram II,Bal,RB,12,165.83,94,15,,,,,,,,,,,,,,,,,,,,,,,,9,24,189.39999,116,24.700001,325.10001,18.9,.93104994
DeSean Jackson,Phi,WR,12,166.89999,223,1,TB,WR,14,159.33,.27000001,151,165,0,0,0,38,0,1,50,668,3,36,0,0,0,0,91,18,19,1,233.60001,132.2,28.6,306.5,18.4,.62168086
Taylor Gabriel,Chi,WR,16,166.97,,,Chi,WR,16,91.099998,.02,1892,269,0,0,0,49,0,3,33,378,1,17,0,0,0,0,209,3,28,13,175.7,111.8,16.5,319.10001,20,.80043542
Kyle Rudolph,Min,TE,16,170.27,77,8,Min,TE,16,188.47,.98000002,80,113,0,0,0,0,0,0,57,532,8,32,0,0,0,0,52,12,23,28,234.60001,122.3,23.9,275.89999,15.8,.8343448
Antonio Callaway,Cle,WR,16,171.17,211,1,,,,,,,,,,,,,,,,,,,,,,,,18,14,201.8,107.1,14.6,328.10001,25.6,.59068668
Allen Robinson II,Chi,WR,13,172.17,6,20,Chi,WR,1,3.1300001,.94999999,46,561,0,0,0,0,0,0,1,17,0,1,0,0,0,0,87,17,28,13,175.7,111.8,16.5,319.10001,20,.69962949
Curtis Samuel,Car,WR,13,174.23,,,Car ,WR,9,60,,,,,,,,,,,,,,,,,,195,1,11,21,192.3,131.39999,22.700001,317.10001,20.4,.8142969
A.J. Green,Cin,WR,9,175.27,53,40,Cin,WR,16,261.87,1,16,41,0,0,0,0,0,0,75,1078,8,55,0,0,0,2,36,45,22,26,195.10001,85.400002,18.1,339.10001,21.799999,.96717429
Dalvin Cook,Min,RB,11,178.83,33,43,Min,RB,4,76.400002,1,19,297,0,0,0,354,2,15,11,90,0,3,0,0,0,1,21,27,23,28,234.60001,122.3,23.9,275.89999,15.8,.75785357
Austin Hooper,Atl,TE,16,179,169,2,Atl,TE,16,126.07,.23999999,165,213,0,0,0,0,0,0,49,526,3,18,0,0,0,0,142,3,24,3,249.39999,115.4,22.1,318.39999,19.700001,.9269138
Cole Beasley,Buf,WR,16,179.7,,,Dal,WR,15,110.83,.079999998,306,230,0,0,0,0,0,0,36,314,4,20,19,0,0,0,224,1,30,29,176.60001,126.1,18.9,355.10001,22.4,.71184307
Cordarrelle Patterson,Chi,WR,15,182.57001,,,NE,WR,16,141.5,.029999999,1923,190,0,0,0,121,2,3,31,309,0,13,538,0,0,0,156,1,28,13,175.7,111.8,16.5,319.10001,20,.71357405
Andre Roberts,Buf,WR,16,186.07001,,,,,,,,,,,,,,,,,,,,,,,,,,30,29,176.60001,126.1,18.9,355.10001,22.4,.76724559
Zay Jones,Buf,WR,16,190.47,,,Buf,WR,15,83.07,.029999999,1961,286,0,0,0,0,0,0,27,316,2,19,0,0,0,0,93,13,30,29,176.60001,126.1,18.9,355.10001,22.4,.99113184
Lamar Jackson,Bal,QB,16,192.53999,215,1,Bal,QB,,,.090000004,269,821,,,,,,,,,,,,,,,,,9,24,189.39999,116,24.700001,325.10001,18.9,.68512976
Nyheim Hines,Ind,RB,16,192.73,,,Ind,,,,.15000001,232,850,,,,,,,,,,,,,,,,,4,17,180.8,103.8,16.4,367.10001,25.299999,.50276679
Marcus Mariota,Ten,QB,14,198.22,74,22,Ten,QB,15,222.48,.74000001,95,78,3232,13,15,312,5,22,0,0,0,0,0,0,0,1,56,46,17,5,199.39999,114.6,20.9,328,22.299999,.69038182
Austin Ekeler,LAC,RB,14,198.33,112,1,LAC,RB,16,132.10001,.090000004,215,203,0,0,0,260,2,12,27,279,3,12,85,0,0,2,,,5,23,276.89999,99.699997,22.200001,328.39999,17,.86360121
Golden Tate,NYG,WR,15,201.2,3,28,Det,WR,16,248.37,.95999998,35,50,0,0,0,22,0,1,92,1003,5,44,23,0,1,1,74,24,29,25,217.39999,96.800003,15.4,373.20001,24.299999,.64754987
Lamar Miller,Hou,RB,14,203.17,81,18,Hou,RB,16,242.60001,.92000002,59,57,0,0,0,888,3,43,36,327,3,17,0,0,0,0,101,26,27,32,204.89999,115.1,21.1,346.60001,27.299999,.9103145
Carson Wentz,Phi,QB,11,203.53,21,30,Phi,QB,13,307.73999,.99000001,70,16,3296,33,7,299,0,26,0,0,0,0,0,0,4,3,111,28,19,1,233.60001,132.2,28.6,306.5,18.4,.68092209
Aaron Jones,GB,RB,12,203.53,146,3,GB,RB,12,94.269997,.74000001,105,264,0,0,0,448,4,21,9,22,0,2,0,0,0,0,,,7,9,197.89999,107.8,20,348.89999,24,.85688269
Corey Davis,Ten,WR,16,210.89999,67,16,Ten,WR,11,74,.88999999,52,303,0,0,0,0,0,0,34,375,0,17,0,0,0,1,222,1,17,5,199.39999,114.6,20.9,328,22.299999,.83906645
Marlon Mack,Ind,RB,12,211.67,140,2,Ind,RB,14,129.7,.75,122,209,0,0,0,358,3,21,21,225,1,10,69,0,0,0,165,5,4,17,180.8,103.8,16.4,367.10001,25.299999,.62082022
Larry Fitzgerald,Ari,WR,16,212.21001,23,34,Ari,WR,16,300.91,.98000002,22,19,21,0,0,0,0,0,109,1156,6,66,0,0,1,1,173,10,25,27,227.5,86.599998,18.4,310.89999,22.6,.97863662
Emmanuel Sanders,Den,WR,12,214.28999,82,16,Den,WR,12,129.8,.85000002,75,208,0,0,0,0,0,0,47,555,2,30,2,0,0,0,116,16,6,19,208.3,115.8,18.1,290,23.9,.63807124
Alshon Jeffery,Phi,WR,13,217.2,86,13,Phi,WR,16,231.60001,.97000003,34,70,0,0,0,0,0,0,57,789,9,44,0,0,3,0,126,21,19,1,233.60001,132.2,28.6,306.5,18.4,.50534767
Chris Godwin,TB,WR,16,219.13,220,1,TB,WR,16,104,.13,134,242,0,0,0,0,0,0,34,525,1,27,0,0,0,0,,,31,22,272.89999,90.599998,20.9,378.10001,23.9,.52763051
Derek Carr,Oak,QB,16,220.06,104,22,Oak,QB,15,211.44,.51999998,132,88,3496,22,13,66,0,5,0,0,0,0,0,0,2,3,97,34,13,7,226.89999,97.099998,18.799999,350.10001,23.299999,.78534144
Jared Cook,NO,TE,16,221.73,93,2,Oak,TE,16,148.87,.34999999,138,174,0,0,0,0,0,0,54,688,2,35,0,0,0,1,181,1,2,6,261.79999,129.39999,28,336.5,20.4,.79768276
Derrick Henry,Ten,RB,16,229.06,12,26,Ten,RB,16,165.47,.94,50,152,0,0,0,744,5,39,11,136,1,4,0,0,0,0,107,13,17,5,199.39999,114.6,20.9,328,22.299999,.93294495
Josh Allen,Buf,QB,12,233.06,193,1,,,,,,,,,,,,,,,,,,,,,,,,30,29,176.60001,126.1,18.9,355.10001,22.4,.9881987
Adam Humphries,Ten,WR,16,235.10001,,,TB,WR,16,149.57001,.0099999998,303,173,0,0,0,6,0,1,61,631,1,34,49,0,0,1,,,17,5,199.39999,114.6,20.9,328,22.299999,.92878562
Dede Westbrook,Jax,WR,16,236.89999,,,Jax,WR,7,74.5,.13,168,301,0,0,0,0,0,0,27,339,1,15,19,0,0,0,,,21,15,224.60001,141.39999,26.1,286.10001,16.799999,.66403782
Jarvis Landry,Cle,WR,16,239.78999,78,33,Cle,WR,16,312.70001,.95999998,42,13,0,0,0,7,0,0,112,987,9,60,76,0,0,2,96,23,18,14,201.8,107.1,14.6,328.10001,25.6,.78242952
Chris Carson,Sea,RB,14,245.97,16,16,Sea,RB,4,53.73,.44,117,356,0,0,0,208,0,11,7,59,1,3,0,0,0,0,,,12,30,228.60001,101.8,22.9,323.20001,20.799999,.57824653
Baker Mayfield,Cle,QB,14,248.10001,216,1,Cle,,,,.13,231,818,,,,,,,,,,,,,,,,,18,14,201.8,107.1,14.6,328.10001,25.6,.7533595
Amari Cooper,Dal,WR,15,250,108,20,Oak,WR,14,178.73,.98000002,33,124,0,0,0,4,0,1,48,680,7,28,0,0,0,0,73,38,8,2,196.3,135.60001,22.1,318.10001,20.799999,.85700721
Julian Edelman,NE,WR,12,254.49001,162,12,NE,WR,16,273.32999,.75999999,115,685,0,0,0,57,0,3,98,1106,3,55,179,0,0,2,15,25,3,11,276.10001,118.1,28.6,366,18.5,.93227464
Eric Ebron,Ind,TE,16,261.20001,182,2,Ind,TE,16,151.27,.47,152,170,0,0,0,0,0,0,53,574,4,30,0,0,0,1,47,9,4,17,180.8,103.8,16.4,367.10001,25.299999,.95820099
T.Y. Hilton,Ind,WR,14,263.87,54,28,Ind,WR,16,189.39999,.98000002,27,112,0,0,0,0,0,0,57,966,4,38,0,0,0,1,78,38,4,17,180.8,103.8,16.4,367.10001,25.299999,.60086083
Odell Beckham Jr.,Cle,WR,12,266.26999,26,49,NYG,WR,4,86.93,1,9,280,0,0,0,8,0,0,25,302,3,15,20,0,0,0,18,51,18,14,201.8,107.1,14.6,328.10001,25.6,.9733476
Phillip Lindsay,Den,RB,15,279.37,,,,,,,,,,,,,,,,,,,,,,,,,,6,19,208.3,115.8,18.1,290,23.9,.67647856
Mitchell Trubisky,Chi,QB,14,286.01999,76,17,Chi,QB,12,142.52,.19,144,186,2193,7,7,248,2,12,0,0,0,0,0,0,1,3,134,4,28,13,175.7,111.8,16.5,319.10001,20,.8219558
David Johnson,Ari,RB,16,296.73001,17,59,Ari,RB,1,13.77,1,3,493,0,0,0,23,0,0,6,67,0,3,0,0,0,1,6,60,25,27,227.5,86.599998,18.4,310.89999,22.6,.93226188
Keenan Allen,LAC,WR,16,300.73001,20,42,LAC,WR,16,321.76999,1,13,11,0,0,0,9,0,0,102,1393,6,74,0,0,0,0,40,22,5,23,276.89999,99.699997,22.200001,328.39999,17,.62218922
Stefon Diggs,Min,WR,15,302.26999,36,30,Min,WR,14,228.89999,.99000001,24,73,0,0,0,13,0,1,64,849,8,42,0,0,0,0,128,15,23,28,234.60001,122.3,23.9,275.89999,15.8,.61891145
Tarik Cohen,Chi,RB,16,306.07001,57,32,Chi,RB,16,245.87,.82999998,103,51,21,1,0,370,2,17,53,353,1,9,855,1,0,2,,,28,13,175.7,111.8,16.5,319.10001,20,.90289438
Cam Newton,Car,QB,14,310.60001,63,45,Car,QB,16,333.48001,.99000001,43,9,3302,22,16,754,6,46,0,0,0,0,0,0,1,1,14,37,11,21,192.3,131.39999,22.700001,317.10001,20.4,.69784951
Tyler Lockett,Sea,WR,16,313.82999,159,19,Sea,WR,16,253.39999,.25,130,45,0,0,0,58,0,4,45,555,2,23,1186,1,0,0,41,24,12,30,228.60001,101.8,22.9,323.20001,20.799999,.78281254
Melvin Gordon III,LAC,RB,12,315.17001,11,55,,,,,,,,,,,,,,,,,,,,,,,,5,23,276.89999,99.699997,22.200001,328.39999,17,.83125645
Jared Goff,LAR,QB,16,315.32001,90,25,LAR,QB,15,256.26001,.91000003,101,44,3804,28,7,51,1,3,0,0,0,0,0,0,0,3,146,16,1,10,239.39999,122.1,29.9,339.60001,20.6,.84981048
James White,NE,RB,16,315.57001,188,3,NE,RB,14,156.7,.2,201,168,0,0,0,171,0,6,56,429,3,25,0,0,0,0,216,1,3,11,276.10001,118.1,28.6,366,18.5,.99975073
Mike Evans,TB,WR,16,322.60001,65,33,TB,WR,15,234.73,1,17,66,0,0,0,0,0,0,71,1001,5,55,0,0,1,0,59,48,31,22,272.89999,90.599998,20.9,378.10001,23.9,.63069588
JuJu Smith-Schuster,Pit,WR,16,332.37,59,27,Pit,WR,14,242,.97000003,42,626,,,,,,,,,,,,,,,,,15,4,273.79999,104.2,25.4,306.89999,19.299999,.54500425
Travis Kelce,KC,TE,16,338.07001,29,24,KC,TE,15,271.89999,1,20,31,0,0,1,7,0,2,83,1038,8,55,0,0,0,0,7,26,16,18,256.5,118.9,25.9,365.10001,21.200001,.80781019
Deshaun Watson,Hou,QB,16,354.70001,8,41,Hou,QB,7,178.86,1,49,125,1699,19,8,269,2,14,0,0,0,0,0,0,2,1,103,16,27,32,204.89999,115.1,21.1,346.60001,27.299999,.79706073
Michael Thomas,NO,WR,16,361.67001,70,38,NO,WR,16,297,1,12,21,0,0,0,0,0,0,104,1245,5,70,0,0,0,0,58,40,2,6,261.79999,129.39999,28,336.5,20.4,.58241123
Julio Jones,Atl,WR,16,367,25,47,Atl,WR,16,277.76999,1,10,29,0,0,0,15,0,1,88,1444,3,67,0,0,0,0,8,50,24,3,249.39999,115.4,22.1,318.39999,19.700001,.74225098
Antonio Brown,Oak,WR,15,373.47,22,57,Pit,WR,14,354.29999,1,4,6,0,0,0,0,0,0,101,1533,9,71,61,0,1,0,12,58,13,7,226.89999,97.099998,18.799999,350.10001,23.299999,.80698615
DeAndre Hopkins,Hou,WR,16,384.10001,31,52,Hou,WR,15,358.87,1,6,5,0,0,0,0,0,0,96,1378,13,69,0,0,0,1,119,30,27,32,204.89999,115.1,21.1,346.60001,27.299999,.66739798
Ezekiel Elliott,Dal,RB,15,400.20001,1,54,Dal,RB,10,245.23,1,5,52,0,0,0,983,7,55,26,269,2,6,0,0,0,1,19,36,8,2,196.3,135.60001,22.1,318.10001,20.799999,.62915105
Alvin Kamara,NO,RB,15,419.37,38,58,NO,RB,16,397.57001,1,8,3,0,0,0,728,8,40,81,826,5,38,347,1,1,1,214,1,2,6,261.79999,129.39999,28,336.5,20.4,.53290236
Todd Gurley II,LAR,RB,14,422.76999,7,67,LAR,RB,15,441.03,1,1,1,0,0,0,1305,13,66,64,788,6,32,0,0,0,2,51,40,1,10,239.39999,122.1,29.9,339.60001,20.6,.72759014
Saquon Barkley,NYG,RB,16,427.76999,15,54,NYG,RB,,,.99000001,7,819,,,,,,,,,,,,,,,,,29,25,217.39999,96.800003,15.4,373.20001,24.299999,.6358732
